TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
6607,EB Varsity DR @ Shaganappi TR NW,ACTIVE,POINT (-114.153877262749 51.093124207452),2,9,13,269
4128,EB Tuscany Ravine RD @ Tuscany Ravine CL NW,ACTIVE,POINT (-114.236394650747 51.1110436391104),2,9,13,158
5337,WB 33 AV SW@ 16 ST SW,ACTIVE,POINT (-114.100150760833 51.0240449243713),1,2,14,207
4464,NB 44 ST SE @ 26 AV SE,ACTIVE,POINT (-113.9698999838 51.0309016638876),3,11,12,85
9574,SB Country Hills BV @ Royal Oak Centre NW,ACTIVE,POINT (-114.216150795118 51.1523247703508),2,9,3,252
8973,EB Northmount DR @ Columbia PL NW,ACTIVE,POINT (-114.106204214989 51.0868619997341),2,4,7,214
9572,SB Rocky Ridge RD @ Rockborough PA NW,ACTIVE,POINT (-114.23438274585 51.1516512593681),2,9,13,193
9065,WB 40 AV N @ Centre ST N,ACTIVE,POINT (-114.063178897875 51.0888015093548),2,4,2,259
3706,EB Old Banff Coach RD @ 77 ST SW,ACTIVE,POINT (-114.198633487671 51.0668910603723),1,14,1,114
8820,WB Bowness RD @ 65 ST NW,ACTIVE,POINT (-114.184232498064 51.0876714547619),2,9,13,149
2536,EB Redstone DR @ Redstone ST NE,ACTIVE,POINT (-113.961449389845 51.1681879487265),4,1,11,3
4910,EB 130 AV SE @ 48 ST SE,ACTIVE,POINT (-113.963926005137 50.9317549260428),3,8,4,46
5016,WB Parkdale BV @ 29 ST NW,ACTIVE,POINT (-114.130312624951 51.0556611492889),2,7,7,91
4917,EB 114 AV SE @ 35 ST SE,ACTIVE,POINT (-113.985272714392 50.9498670019155),3,8,4,162
8467,SB University DR @ 24 AV NW,ACTIVE,POINT (-114.128091636916 51.0738290604856),2,7,13,274
9496,WB Dufferin BV @ 54 ST SE,INACTIVE,POINT (-113.955877275096 50.9540691782357),3,8,4,79
5026,WB 48 AV NW @ 85 ST NW,ACTIVE,POINT (-114.211698528709 51.0959396610144),2,9,13,149
5132,EB 17 AV SW @ Gateway DR,ACTIVE,POINT (-114.15607796978 51.0377073433701),1,14,1,41
2326,SB 68 ST NE @ Faldale CL,ACTIVE,POINT (-113.935389131756 51.1048086486088),4,1,9,56
7547,EB 78 AV NE @ Aerial PL,INACTIVE,POINT (-114.008083458219 51.1223126670226),4,1,11,86
9561,WB McKenzie Towne DR @ Elgin Estates HL SE,ACTIVE,POINT (-113.963993423228 50.9066870244857),3,8,4,46
